brand_name,n_products,n_categories,categories,avg_price,median_price,price_p10,price_p90,avg_promo_rate,avg_discount_depth,avg_price_volatility,price_range_p90_p10,brand_quadrant
Lenger,2,2,"Thực Phẩm Khô, Thực Phẩm Đông Lạnh",46493.90243902439,46493.90243902439,28498.780487804877,64489.024390243896,0.042682926829268296,0.2054794520547945,0.046894108344397396,35990.24390243902,local_value
Maruto,2,1,Thực Phẩm Chế Biến,140635.3448275862,140635.3448275862,138743.62068965516,142527.06896551725,0.11206896551724138,0.14755244755244756,0.032095846851715105,3783.448275862087,local_value
Marukome,2,1,Mì - Thực Phẩm Ăn Liền,98200.0,98200.0,98200.0,98200.0,0.0,,0.0,0.0,niche_professional
Lipzo,2,1,Chăm Sóc Bé,44600.0,44600.0,44280.0,44920.0,0.0,,0.0,640.0,local_value
Lê Gia,2,1,Gia Vị,93931.1320754717,93931.1320754717,79266.22641509434,108596.03773584907,0.20754716981132076,0.13257575757575757,0.03763688305003829,29329.81132075473,niche_professional
Cadbury,2,1,Bánh Kẹo,53050.0,53050.0,28610.0,77490.0,0.0,,0.0,48880.0,niche_professional
Kopiko,2,1,Bánh Kẹo,15411.764705882353,15411.764705882353,15411.764705882353,15411.764705882353,0.5294117647058824,0.17647058823529413,0.09862084065782382,0.0,local_value
Hey Yo,2,1,Thực Phẩm Chế Biến,11300.0,11300.0,11300.0,11300.0,0.0,,0.0,0.0,local_value
Bega,2,1,Sữa Tươi,134782.5,134782.5,133541.8333333333,136023.1666666667,0.3162280701754386,0.12870908610398563,0.06347781081510251,2481.333333333372,niche_professional
Karo,2,1,Thực Phẩm Chế Biến,33258.06345553181,33258.06345553181,33201.22308071675,33314.90383034687,0.7437119842183133,0.1920547458229648,0.10591321723292521,113.68074963011895,local_value
Hasubi,2,1,Thực Phẩm Đông Lạnh,74500.0,74500.0,72500.0,76500.0,0.0,,0.0,4000.0,local_value
Oral Clean,2,1,Chăm Sóc Bé,55500.0,55500.0,54300.0,56700.0,0.0,,0.0,2400.0,local_value
