product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition
Sữa chua Vinamilk nha đam ít đường hộp 100g,Hộp,Sữa Chua - Váng Sữa,Sữa Tươi,8150.0,8900.0,36,0.5,0.16853932584269662,0.09332991770008157,2,0.20270270270270263,1,0,1,14,9.0,0,Vinamilk,household_giant,0,1
Sữa tiệt trùng canxi MeaDow Fresh hộp 200g,Gói 3,Sữa tươi,Sữa Tươi,49229.50819672131,54600.0,61,0.6885245901639344,0.14285714285714285,0.07398267131736888,2,0.16666666666666674,1,0,1,42,42.0,0,Meadow Fresh,niche_professional,1,0
Sữa tươi tiệt trùng Devondale nguyên chất 1L,Gói,Sữa tươi,Sữa Tươi,61933.333333333336,67900.0,42,0.3333333333333333,0.26362297496318116,0.1378970692037437,2,0.3580000000000001,1,0,1,14,14.0,0,Devondale,niche_professional,1,0
Sữa tươi tiệt trùng Devondale nguyên chất 6 hộp x 200ml,Gói 6,Sữa tươi,Sữa Tươi,91449.09090909091,105000.0,55,0.4909090909090909,0.26289241622574955,0.15229169759003386,3,0.35834411384217324,1,0,1,14,13.5,0,Devondale,niche_professional,1,0
Sữa Bột Nutifood Growplus lon 1.5 kg,Lon,Sữa Bột,Sữa Tươi,698655.1724137932,717689.6551724138,29,0.27586206896551724,0.09732016925246827,0.05677581234355188,3,0.10781250000000009,1,0,2,8,8.0,1,Nutifood,prestige_leader,1,1
Sữa Chua Uống Susu Hương Cam gói 110ml,Gói,Sữa Chua - Váng Sữa,Sữa Tươi,5400.0,5400.0,48,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Susu,local_value,0,0
Sữa Ensure hương vani chai 237ml,Chai,Sữa Bột,Sữa Tươi,42800.0,42800.0,26,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Ensure,prestige_leader,1,1
Sữa Glucerna Hương Lúa Mạch hộp 850g,Lon,Sữa Hạt - Sữa Đậu,Sữa Tươi,957000.0,957000.0,42,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Glucerna,prestige_leader,1,1
Sữa KUN vị cacao lúa mạch hộp 110ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,19993.22033898305,20800.0,59,0.288135593220339,0.1346153846153846,0.06397118304714358,2,0.15555555555555545,1,0,1,14,8.5,0,Kun,local_value,0,0
Sữa bắp non dinh dưỡng LOF lốc 4 hộp x 180ml,Gói 4,Sữa Hạt - Sữa Đậu,Sữa Tươi,30733.333333333332,32600.0,60,0.3333333333333333,0.17177914110429449,0.08662070680583163,2,0.20740740740740748,1,0,1,20,20.0,0,Lof,niche_professional,1,0
Sữa bột Abbott Glucerna hương vani hộp 850g,Lon,Sữa Bột,Sữa Tươi,939360.0,957000.0,50,0.18,0.10240334378265413,0.04048779762836096,2,0.11408614668218853,1,0,1,9,9.0,0,Glucerna,prestige_leader,1,1
"Sữa bột Abbott PediaSure BA hương vani 1,6kg",Lon,Sữa Bột,Sữa Tươi,1226000.0,1226000.0,51,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Pediasure,prestige_leader,1,1
Sữa bột Glucerna SR Abbott 400g,Lon,Sữa Bột,Sữa Tươi,436000.0,436000.0,24,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Glucerna,prestige_leader,1,1
Sữa bột NutiFood Grow Plus+ cho trẻ thấp còi 900g,Lon,Sữa Bột,Sữa Tươi,464326.5306122449,464326.5306122449,49,0.0,,0.02489309524431606,2,0.05066079295154191,0,0,2,0,0.0,1,Nutifood,prestige_leader,1,1
Sữa bột NutiFood Grow Plus+ trên 1 tuổi lon 1.5kg (xanh),Lon,Sữa Bột,Sữa Tươi,481540.54054054053,489000.0,37,0.16216216216216217,0.09406952965235175,0.03569680406315998,2,0.10383747178329572,1,0,1,6,6.0,0,Nutifood,prestige_leader,1,1
Sữa bột Pediasure hương vani 400g,Lon,Sữa Bột,Sữa Tươi,339500.0,339500.0,50,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Pediasure,prestige_leader,1,1
Sữa bột hương vani PediaSure lon 850g,Lon,Sữa Bột,Sữa Tươi,678226.4150943396,692000.0,53,0.18867924528301888,0.10549132947976878,0.04251505849259999,2,0.11793214862681745,1,0,1,10,10.0,0,Pediasure,prestige_leader,1,1
Sữa chua Hoff vị nguyên bản vỉ 4 hộp 55g,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,43957.8125,47600.0,64,0.578125,0.1323529411764706,0.07133899052807574,2,0.15254237288135597,1,0,1,21,18.5,0,Hoff,local_value,0,0
